11:21:51.421 [main] INFO  uc.seng301.wordleapp.assignment5.App - Starting application...
11:22:28.993 [main] INFO  uc.seng301.wordleapp.assignment5.App - User input: asdf
11:22:28.994 [main] INFO  uc.seng301.wordleapp.assignment5.App - Input invalid, asdf
11:22:32.004 [main] INFO  uc.seng301.wordleapp.assignment5.App - User input: asdff
11:22:32.004 [main] INFO  uc.seng301.wordleapp.assignment5.App - Input invalid, asdff
11:22:37.051 [main] INFO  uc.seng301.wordleapp.assignment5.App - User input: help
11:22:37.052 [main] INFO  uc.seng301.wordleapp.assignment5.App - Input valid, help printed
11:22:57.242 [main] INFO  uc.seng301.wordleapp.assignment5.App - User input: create
11:23:07.311 [main] INFO  uc.seng301.wordleapp.assignment5.App - User input: create Khan
11:23:07.526 [main] INFO  uc.seng301.wordleapp.assignment5.App - Input valid, created user Khan} id 1}
11:23:32.457 [main] INFO  uc.seng301.wordleapp.assignment5.App - User input: play random guesser
11:23:32.602 [main] INFO  uc.seng301.wordleapp.assignment5.dictionary.DictionaryService - Requesting words from api with input: .....
11:23:33.127 [main] INFO  uc.seng301.wordleapp.assignment5.dictionary.DictionaryService - Api responded with status code '200'
11:23:39.509 [main] INFO  uc.seng301.wordleapp.assignment5.App - User input: play random
11:23:39.509 [main] INFO  uc.seng301.wordleapp.assignment5.dictionary.DictionaryService - Requesting words from api with input: .....
11:23:39.658 [main] INFO  uc.seng301.wordleapp.assignment5.dictionary.DictionaryService - Api responded with status code '200'
11:23:52.638 [main] INFO  uc.seng301.wordleapp.assignment5.App - User input: play random random
11:23:52.638 [main] INFO  uc.seng301.wordleapp.assignment5.dictionary.DictionaryService - Requesting words from api with input: .....
11:23:52.772 [main] INFO  uc.seng301.wordleapp.assignment5.dictionary.DictionaryService - Api responded with status code '200'
11:24:03.733 [main] INFO  uc.seng301.wordleapp.assignment5.App - User input: play random manual
11:24:03.733 [main] INFO  uc.seng301.wordleapp.assignment5.dictionary.DictionaryService - Requesting words from api with input: .....
11:24:03.885 [main] INFO  uc.seng301.wordleapp.assignment5.dictionary.DictionaryService - Api responded with status code '200'
11:24:19.869 [main] INFO  uc.seng301.wordleapp.assignment5.App - User input: play Khan random
11:24:19.869 [main] INFO  uc.seng301.wordleapp.assignment5.dictionary.DictionaryService - Requesting words from api with input: .....
11:24:20.005 [main] INFO  uc.seng301.wordleapp.assignment5.dictionary.DictionaryService - Api responded with status code '200'
11:24:20.204 [main] INFO  uc.seng301.wordleapp.assignment5.dictionary.DictionaryService - Requesting words from api with input: .....
11:24:20.242 [main] INFO  uc.seng301.wordleapp.assignment5.dictionary.DictionaryService - Api responded with status code '200'
11:24:20.423 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Playing game with word 'hairy'
11:24:20.423 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='snows'}
11:24:20.423 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='sperm'}
11:24:20.423 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='pains'}
11:24:20.423 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='poled'}
11:24:20.423 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='goofy'}
11:24:20.423 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='trick'}
11:24:20.423 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='mitts'}
11:24:20.423 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='arson'}
11:24:20.424 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='aback'}
11:24:20.424 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='nasty'}
11:24:20.424 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='exalt'}
11:24:20.424 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='guide'}
11:24:20.424 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='crock'}
11:24:20.424 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='yours'}
11:24:20.424 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='scout'}
11:24:20.424 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='gnaws'}
11:24:20.424 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='stray'}
11:24:20.424 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='ranks'}
11:24:20.424 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='serum'}
11:24:20.424 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='revel'}
11:24:20.424 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='endow'}
11:24:20.424 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='nooks'}
11:24:20.424 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='cases'}
11:24:20.424 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='rafts'}
11:24:20.424 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='dryly'}
11:24:20.424 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='enter'}
11:24:20.424 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='plead'}
11:24:20.424 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='scald'}
11:24:20.424 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='faced'}
11:24:20.424 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='mixes'}
11:24:20.424 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='jolly'}
11:24:20.424 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='links'}
11:24:20.424 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='piped'}
11:24:20.424 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='glues'}
11:24:20.424 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='wants'}
11:24:20.424 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='leads'}
11:24:20.424 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='mites'}
11:24:20.424 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='issue'}
11:24:20.424 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='mango'}
11:24:20.424 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='cheek'}
11:24:20.425 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='widen'}
11:24:20.425 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='using'}
11:24:20.425 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='odder'}
11:24:20.425 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='spike'}
11:24:20.425 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='gases'}
11:24:20.425 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='basis'}
11:24:20.425 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='riots'}
11:24:20.425 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='repay'}
11:24:20.425 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='aptly'}
11:24:20.425 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='meets'}
11:24:20.425 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='gulps'}
11:24:20.425 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='balls'}
11:24:20.425 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='exits'}
11:24:20.425 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='miter'}
11:24:20.425 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='hills'}
11:24:20.425 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='fixes'}
11:24:20.425 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='train'}
11:24:20.425 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='known'}
11:24:20.425 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='molts'}
11:24:20.425 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='jelly'}
11:24:20.425 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='flees'}
11:24:20.425 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='elegy'}
11:24:20.425 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='blood'}
11:24:20.425 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='moans'}
11:24:20.425 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='stray'}
11:24:20.425 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='rebel'}
11:24:20.425 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='cover'}
11:24:20.425 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='teens'}
11:24:20.425 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='amass'}
11:24:20.425 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='slimy'}
11:24:20.425 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='phone'}
11:24:20.425 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='brief'}
11:24:20.425 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='madam'}
11:24:20.425 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='lapel'}
11:24:20.426 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='quota'}
11:24:20.426 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='child'}
11:24:20.426 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='fairs'}
11:24:20.426 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='reins'}
11:24:20.426 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='froth'}
11:24:20.426 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='loses'}
11:24:20.426 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='panic'}
11:24:20.426 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='firms'}
11:24:20.426 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='onset'}
11:24:20.426 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='clung'}
11:24:20.426 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='plate'}
11:24:20.426 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='grace'}
11:24:20.426 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='truer'}
